Model / Part,Cores,Threads,Freq.,Turbo freq.,L2 cache,TDP (Watt),Socket,Category,FSB (MHz),L3 cache,L1 cache,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
Athlon 64 TF-36,1,1,2 GHz,,256KB,25.0,Socket S1 (S1g1),Athlon 64 for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon 64 TF-38,1,1,2.2 GHz,,256KB,31.0,Socket S1 (S1g1),Athlon 64 for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II 160u,1,1,1.8 GHz,,1MB,20.0,Socket AM2+ / Socket AM3,Athlon II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II 160u,1,1,1.8 GHz,,1MB,20.0,Socket AM2+ / Socket AM3,Athlon II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II 170u,1,1,2 GHz,,1MB,20.0,Socket AM2+ / Socket AM3,Athlon II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II M300,2,2,2 GHz,,1MB,35.0,Socket S1 (S1g3),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II M320,2,2,2.1 GHz,,1MB,35.0,Socket S1 (S1g3),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II M340,2,2,2.2 GHz,,1MB,35.0,Socket S1 (S1g3),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II M360,2,2,2.3 GHz,,1MB,35.0,Socket S1 (S1g3),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II N330,2,2,2.3 GHz,,1MB,35.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II N350,2,2,2.4 GHz,,1MB,35.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II N370,2,2,2.5 GHz,,1MB,35.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II P320,2,2,2.1 GHz,,1MB,25.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II P340,2,2,2.2 GHz,,1MB,25.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II P360,2,2,2.3 GHz,,1MB,25.0,Socket S1 (S1g4),Athlon II Dual-Core Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 210e,2,2,2.6 GHz,,1MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 215,2,2,2.7 GHz,,1MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 215,2,2,2.7 GHz,,1MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 220,2,2,2.8 GHz,,1MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 221,2,2,2.8 GHz,,1MB,65.0,Socket FM1,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 235e,2,2,2.7 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 240,2,2,2.8 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 240,2,2,2.8 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 240e,2,2,2.8 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 240e,2,2,2.8 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 245,2,2,2.9 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 245,2,2,2.9 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 245e,2,2,2.9 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 250,2,2,3 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 250,2,2,3 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 250e,2,2,3 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 250u,2,2,1.6 GHz,,2MB,25.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 255,2,2,3.1 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 255,2,2,3.1 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 260,2,2,3.2 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 260u,2,2,1.8 GHz,,2MB,25.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 260u,2,2,1.8 GHz,,2MB,25.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 265,2,2,3.3 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 270,2,2,3.4 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 270u,2,2,2 GHz,,2MB,25.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 280,2,2,3.6 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B22,2,2,2.8 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B22,2,2,2.8 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B24,2,2,3 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B24,2,2,3 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B26,2,2,3.2 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B28,2,2,3.4 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X2 B30,2,2,3.6 GHz,,2MB,65.0,Socket AM2+ / Socket AM3,Athlon II X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 400e,3,3,2.2 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 405e,3,3,2.3 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 405e,3,3,2.3 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 415e,3,3,2.5 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 420e,3,3,2.6 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 425,3,3,2.7 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 425e,3,3,2.7 GHz,,1.5MB,45.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 435,3,3,2.9 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 435,3,3,2.9 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 440,3,3,3 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 440,3,3,3 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 445,3,3,3.1 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 450,3,3,3.2 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 455,3,3,3.3 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X3 460,3,3,3.4 GHz,,1.5MB,95.0,Socket AM2+ / Socket AM3,Athlon II X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 600e,4,4,2.2 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 605e,4,4,2.3 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 605e,4,4,2.3 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 610e,4,4,2.4 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 615e,4,4,2.5 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 620,4,4,2.6 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 620e,4,4,2.6 GHz,,2MB,45.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 630,4,4,2.8 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 630,4,4,2.8 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 631,4,4,2.6 GHz,,4MB,65.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 631,4,4,2.6 GHz,,4MB,100.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 635,4,4,2.9 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 635,4,4,2.9 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 638,4,4,2.7 GHz,,4MB,65.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 640,4,4,3 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 640,4,4,3 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 641,4,4,2.8 GHz,,4MB,100.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 645,4,4,3.1 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 645,4,4,3.1 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 650,4,4,3.2 GHz,,2MB,95.0,Socket AM2+ / Socket AM3,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 651,4,4,3 GHz,,4MB,100.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II X4 651K,4,4,3 GHz,,4MB,100.0,Socket FM1,Athlon II X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II XLT V50L,2,2,2.2 GHz,,2MB,25.0,Socket AM3,Athlon II XLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II XLT V64L,2,2,2.7 GHz,,2MB,45.0,Socket AM3,Athlon II XLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon II XLT V66C,2,2,2.8 GHz,,2MB,45.0,Socket AM3,Athlon II XLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP AHX1000AMS3C,1,1,1 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP AHX1200AMS3C,1,1,1.2 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP AHX1200ANS3B,1,1,1.2 GHz,,256KB,,Socket 462,Athlon MP,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP AHX1200DHS3C,1,1,1.2 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 1500+,1,1,1.333 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 1600+,1,1,1.4 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 1800+,1,1,1.533 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 1900+,1,1,1.6 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2100+,1,1,1.733 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2200+,1,1,1.8 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2400+,1,1,2 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2400+,1,1,2 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2600+,1,1,2 GHz,,512KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2600+,1,1,2.133 GHz,,256KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon MP 2800+,1,1,2.133 GHz,,512KB,,Socket 462,Athlon MP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 340,2,2,3.2 GHz,3.6 GHz,1MB,65.0,Socket FM2,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 350,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 370K,2,2,4 GHz,4.2 GHz,1MB,65.0,Socket FM2,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 450,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 5000+,2,2,2.2 GHz,,1MB,65.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 5000+,2,2,2.2 GHz,,1MB,65.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 5200+,2,2,2.3 GHz,,1MB,65.0,Socket AM2+ / Socket AM3,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 6500,2,2,2.3 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 7450,2,2,2.4 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 7550,2,2,2.5 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 7750,2,2,2.7 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 7750,2,2,2.7 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X2 7850,2,2,2.8 GHz,,1MB,95.0,Socket AM2 / Socket AM2+,Athlon X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 530 (1),4,4,2 GHz,,2MB,25.0,Socket AM1,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 550 (1),4,4,2.2 GHz,,2MB,25.0,Socket AM1,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 730 (1),4,4,2.8 GHz,3.2 GHz,4MB,65.0,Socket FM2,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 740,4,4,3.2 GHz,3.7 GHz,4MB,65.0,Socket FM2,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 750,4,4,3.4 GHz,3.9 GHz,4MB,65.0,Socket FM2,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 750K,4,4,3.4 GHz,4 GHz,4MB,100.0,Socket FM2,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 760K,4,4,3.8 GHz,4.1 GHz,4MB,100.0,Socket FM2,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 830,4,4,3 GHz,3.4 GHz,4MB,65.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 835 (1),4,4,3.1 GHz,,2MB,65.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 840,4,4,3.1 GHz,3.8 GHz,4MB,65.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 845,4,4,3.5 GHz,3.8 GHz,2MB,65.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 850 (1),4,4,3.2 GHz,,4MB,65.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 860K,4,4,3.7 GHz,4 GHz,4MB,95.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 870K,4,4,3.9 GHz,4.1 GHz,4MB,95.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 880K,4,4,4 GHz,4.2 GHz,4MB,95.0,Socket FM2+,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 940,4,4,3.2 GHz,3.6 GHz,2MB,65.0,Socket AM4,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 950,4,4,3.5 GHz,3.8 GHz,2MB,65.0,Socket AM4,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon X4 970,4,4,3.8 GHz,4 GHz,2MB,65.0,Socket AM4,Athlon X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1500+,1,1,1.333 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1500+,1,1,1.333 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1600+,1,1,1.4 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1600+,1,1,1.4 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1600+,1,1,1.4 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1700+,1,1,1.467 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1700+,1,1,1.467 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1700+,1,1,1.467 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1700+,1,1,1.467 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1800+,1,1,1.533 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1800+,1,1,1.533 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1800+,1,1,1.533 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1800+,1,1,1.533 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1900+,1,1,1.6 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 1900+,1,1,1.6 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2000+,1,1,1.667 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2100+,1,1,1.733 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2100+,1,1,1.733 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2200+,1,1,1.8 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2200+,1,1,1.8 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2200+,1,1,1.8 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2200+,1,1,1.8 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athlon XP 2400+,1,1,2 GHz,,256KB,,Socket 462,Athlon XP,266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
