Model / Part,Cores,Threads,Freq.,Turbo freq.,FSB (MHz),L2 cache,TDP (Watt),Socket,Category,L3 cache,L1 cache,releaseDate,cores,threads,maxTurboClock,baseClock,cache,cacheInfo,TDP,lith,status,integratedG
Pentium M 778,1,1,1.6 GHz,,400.0,2MB,10.0,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M A100,1,1,600 MHz,,400.0,512KB,3.0,BGA663,Pentium M,,,,,,,,,,,,,
Pentium M A110,1,1,800 MHz,,400.0,512KB,3.0,BGA663,Pentium M,,,,,,,,,,,,,
Pentium M RJ80535GC0251M,1,1,1.6 GHz,,400.0,1MB,24.5,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M RH80535GC0291M,1,1,1.7 GHz,,400.0,1MB,24.5,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 735A,1,1,1.7 GHz,,400.0,2MB,,Socket mPGA478C,Pentium M,,,,,,,,,,,,,
Pentium M 735A,1,1,1.7 GHz,,400.0,2MB,,BGA479,Pentium M,,,,,,,,,,,,,
Pentium M 780,1,1,2.267 GHz,,533.0,2MB,27.0,Socket mPGA478C,Pentium M,,,,1.0,,,2.26,2.0,L2 Cache,,,Discontinued,
Pentium M 780,1,1,2.267 GHz,,533.0,2MB,27.0,BGA479,Pentium M,,,,1.0,,,2.26,2.0,L2 Cache,,,Discontinued,
Pentium MMX A80503166,1,1,166 MHz,,66.0,,13.1,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX BP80503166,1,1,166 MHz,,66.0,,13.1,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX FV80503166,1,1,166 MHz,,66.0,,13.1,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX A80503200,1,1,200 MHz,,66.0,,15.7,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX BP80503200,1,1,200 MHz,,66.0,,15.7,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX FV80503200,1,1,200 MHz,,66.0,,15.7,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX BP80503233,1,1,233 MHz,,66.0,,17.0,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium MMX FV80503233,1,1,233 MHz,,66.0,,17.0,Socket 7,Pentium MMX,,32KB,,,,,,,,,,,
Pentium Pro KB80521EX150 256K,1,1,150 MHz,,60.0,256KB,29.2,Socket 8,Pentium Pro,,,,,,,,,,,,,
Pentium Pro KB80521EX166 512K,1,1,166 MHz,,66.0,512KB,35.0,Socket 8,Pentium Pro,,,,,,,,,,,,,
Pentium Pro KB80521EX180 256K,1,1,180 MHz,,60.0,256KB,31.7,Socket 8,Pentium Pro,,,,,,,,,,,,,
Pentium Pro KB80521EX200 256K,1,1,200 MHz,,66.0,256KB,35.0,Socket 8,Pentium Pro,,,,,,,,,,,,,
Pentium Pro KB80521EX200 512K,1,1,200 MHz,,66.0,512KB,37.9,Socket 8,Pentium Pro,,,,,,,,,,,,,
Pentium Pro GJ80521EX200 1M,1,1,200 MHz,,66.0,1MB,47.0,Socket 8,Pentium Pro,,,,,,,,,,,,,
Xeon 80528KC017G0K,1,1,1.4 GHz,,400.0,256KB,56.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon YF80528KC017512,1,2,1.4 GHz,,400.0,256KB,65.0,Socket 603,Xeon,512KB,,,,,,,,,,,,
Xeon RN80532KC0211M,1,2,1.5 GHz,,400.0,512KB,48.0,Socket 603,Xeon,1MB,,,,,,,,,,,,
Xeon RN80528KC021G0K,1,1,1.5 GHz,,400.0,256KB,59.2,Socket 603,Xeon,,,,,,,,,,,,,
Xeon YF80528KC021512,1,2,1.5 GHz,,400.0,256KB,68.0,Socket 603,Xeon,512KB,,,,,,,,,,,,
Xeon RK80532EC025512,1,2,1.6 GHz,,400.0,512KB,30.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon YF80528KC025G1M,1,2,1.6 GHz,,400.0,256KB,72.0,Socket 603,Xeon,1MB,,,,,,,,,,,,
Xeon RN80528KC029G0K,1,1,1.7 GHz,,400.0,256KB,65.8,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80532KC033512,1,2,1.8 GHz,,400.0,512KB,55.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0371M,1,2,1.9 GHz,,400.0,512KB,55.0,Socket 603,Xeon,1MB,,,,,,,,,,,,
Xeon RK80532EC041512,1,2,2 GHz,,400.0,512KB,35.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80532KE041512,1,2,2 GHz,,533.0,512KB,,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0411M,1,2,2 GHz,,400.0,512KB,57.0,Socket 603,Xeon,1MB,,,,,,,,,,,,
Xeon RN80532KC0412M,1,2,2 GHz,,400.0,512KB,57.0,Socket 603,Xeon,2MB,,,,,,,,,,,,
Xeon RN80532KC041512,1,2,2 GHz,,400.0,512KB,58.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80528KC041G0K,1,1,2 GHz,,400.0,256KB,77.5,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80532KC049512,1,2,2.2 GHz,,400.0,512KB,61.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0492M,1,2,2.2 GHz,,400.0,512KB,65.0,Socket 603,Xeon,2MB,,,,,,,,,,,,
Xeon RK80532EE056512,1,2,2.4 GHz,,533.0,512KB,40.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80532KE0561M,1,2,2.4 GHz,,533.0,512KB,,Socket 604,Xeon,1MB,,,,,,,,,,,,
Xeon RK80532KE056512,1,2,2.4 GHz,,533.0,512KB,,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RN80532KC056512,1,2,2.4 GHz,,400.0,512KB,65.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0601M,1,2,2.5 GHz,,400.0,512KB,66.0,Socket 603,Xeon,1MB,,,,,,,,,,,,
Xeon RN80532KC064512,1,2,2.6 GHz,,400.0,512KB,71.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RK80532KE067512,1,2,2.667 GHz,,533.0,512KB,,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0682M,1,2,2.7 GHz,,400.0,512KB,80.0,Socket 603,Xeon,2MB,,,,,,,,,,,,
Xeon RK80532KE0721M,1,2,2.8 GHz,,533.0,512KB,,Socket 604,Xeon,1MB,,,,,,,,,,,,
Xeon RK80532KE072512,1,2,2.8 GHz,,533.0,512KB,,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0722M,1,2,2.8 GHz,,400.0,512KB,72.0,Socket 603,Xeon,2MB,,,,,,,,,,,,
Xeon RN80532KC072512,1,2,2.8 GHz,,400.0,512KB,74.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0721M,1,2,2.8 GHz,,800.0,1MB,103.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0722MM,1,2,2.8 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF0734M,1,2,2.833 GHz,,667.0,1MB,129.0,Socket 604,Xeon,4MB,,,,,,,,,,,,
Xeon NE80546JG0802MM,1,2,3 GHz,,800.0,2MB,55.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RN80532KC0804M,1,2,3 GHz,,400.0,512KB,85.0,Socket 603,Xeon,4MB,,,,,,,,,,,,
Xeon RN80532KC080512,1,2,3 GHz,,400.0,512KB,85.0,Socket 603,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0801M,1,2,3 GHz,,800.0,1MB,103.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0802MM,1,2,3 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF0808M,1,2,3 GHz,,667.0,1MB,129.0,Socket 604,Xeon,8MB,,,,,,,,,,,,
Xeon RK80532KE0831M,1,2,3.067 GHz,,533.0,512KB,,Socket 604,Xeon,1MB,,,,,,,,,,,,
Xeon RK80532KE083512,1,2,3.067 GHz,,533.0,512KB,,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF0871M,1,2,3.167 GHz,,667.0,1MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon NE80546QG0882MM,1,2,3.2 GHz,,800.0,2MB,90.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80532KE0881M,1,2,3.2 GHz,,533.0,512KB,,Socket 604,Xeon,1MB,,,,,,,,,,,,
Xeon RK80532KE0882M,1,2,3.2 GHz,,533.0,512KB,,Socket 604,Xeon,2MB,,,,,,,,,,,,
Xeon RK80546KG0881M,1,2,3.2 GHz,,800.0,1MB,103.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0882MM,1,2,3.2 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF0931M,1,2,3.333 GHz,,667.0,1MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF0938M,1,2,3.333 GHz,,667.0,1MB,129.0,Socket 604,Xeon,8MB,,,,,,,,,,,,
Xeon RK80546KG0961M,1,2,3.4 GHz,,800.0,1MB,103.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG0962MM,1,2,3.4 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG1041M,1,2,3.6 GHz,,800.0,1MB,103.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG1042MM,1,2,3.6 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KF1071M,1,2,3.667 GHz,,667.0,1MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon RK80546KG1122MM,1,2,3.8 GHz,,800.0,2MB,110.0,Socket 604,Xeon,,,,,,,,,,,,,
Xeon LF80539JF0282M,2,2,1.667 GHz,,667.0,2MB,15.0,,Xeon,,,,,,,,,,,,,
Xeon LF80539KF0282M,2,2,1.667 GHz,,667.0,2MB,31.0,,Xeon,,,,,,,,,,,,,
Xeon 3040,2,2,1.867 GHz,,1066.0,2MB,65.0,Socket 775,Xeon,,,,2.0,,,1.86,2.0,L2 Cache,,,Discontinued,
Xeon LF80539KF0412M,2,2,2 GHz,,667.0,2MB,31.0,,Xeon,,,,,,,,,,,,,
Xeon 3050,2,2,2.133 GHz,,1066.0,2MB,65.0,Socket 775,Xeon,,,,2.0,,,2.13,2.0,L2 Cache,,,Discontinued,
Xeon LF80539KF0482M,2,2,2.167 GHz,,667.0,2MB,31.0,,Xeon,,,,,,,,,,,,,
Xeon 3060,2,2,2.4 GHz,,1066.0,4MB,65.0,Socket 775,Xeon,,,,2.0,,,2.4,4.0,L2 Cache,,,Discontinued,
Xeon 3065,2,2,2.333 GHz,,1333.0,4MB,65.0,Socket 775,Xeon,,,2007.0,2.0,,,2.33,4.0,L2 Cache,,,Discontinued,
Xeon 3070,2,2,2.667 GHz,,1066.0,4MB,65.0,Socket 775,Xeon,,,,2.0,,,2.66,4.0,L2 Cache,,,Discontinued,
Xeon 3075,2,2,2.667 GHz,,1333.0,4MB,65.0,Socket 775,Xeon,,,,,,,,,,,,,
